Date,Filename,yeah idk,Num Seeds,acc,TP,TN,FP,FN,F-measure,AUC,Classifier,Classifer Parameters
5/28/18,ran_7_4_5_6_10_13_15_16,29,10,61.6,0.62,0.62,0.38,0.38,0.61,0.63,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_5_10_12_13_18_20,29,10,60.8,0.61,0.61,0.39,0.39,0.61,0.63,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_7_8_10_12_14_20,29,10,60.8,0.61,0.61,0.39,0.39,0.61,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_8_9_10_11_12_14_15,29,10,60.8,0.61,0.61,0.39,0.39,0.61,0.66,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_5_9_11_16_18_21,29,10,60.4,0.6,0.61,0.39,0.4,0.6,0.62,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_10_12_13_15_18_19,29,10,60,0.6,0.61,0.39,0.4,0.6,0.61,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_5_10_11_12_20_21,29,10,59.6,0.6,0.61,0.39,0.4,0.59,0.65,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_4_5_8_14_19_20,29,10,59.6,0.6,0.6,0.4,0.4,0.59,0.64,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_6_8_10_14_16_21,29,10,59.6,0.6,0.6,0.4,0.4,0.59,0.65,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_7_12_13_15_18_19_21,29,10,59.6,0.6,0.59,0.41,0.4,0.59,0.61,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_5_9_10_11_14_15_17,29,10,59.6,0.6,0.6,0.4,0.4,0.59,0.62,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_3_6_12_14_19_20,29,10,58.8,0.59,0.59,0.41,0.41,0.59,0.62,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_4_5_10_15_21,29,10,58.8,0.59,0.6,0.4,0.41,0.58,0.63,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_3_10_12_15_16,29,10,57.6,0.58,0.58,0.42,0.42,0.57,0.64,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_5_8_9_14_19_21,29,10,57.2,0.57,0.57,0.43,0.43,0.57,0.6,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_6_8_9_10_12_17,29,10,57.2,0.57,0.57,0.43,0.43,0.57,0.63,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_4_6_9_14_18_19,29,10,53.2,0.53,0.53,0.47,0.47,0.53,0.56,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_7_9_10_12_14_18_21,29,10,51.2,0.51,0.51,0.49,0.49,0.51,0.55,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,3_6_7_10_19_20_21,,10,85.6,0.86,0.86,0.14,0.14,0.86,0.86,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,6_7_11_15_19_20_21,,10,84.4,0.84,0.85,0.15,0.16,0.84,0.82,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_6_8_11_14_17_19,,10,82,0.82,0.82,0.18,0.18,0.82,0.77,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_3_15_16_17_19_21,,10,80.4,0.8,0.8,0.2,0.2,0.8,0.77,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_2_7_12_13_19_21,,10,80.4,0.8,0.8,0.2,0.2,0.8,0.78,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_4_6_14_17_20_21,,10,80,0.8,0.8,0.2,0.2,0.8,0.81,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_2_3_7_11_15_16,,10,80,0.8,0.79,0.21,0.2,0.8,0.78,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,4_9_10_15_16_20_21,,10,78.8,0.79,0.79,0.21,0.21,0.79,0.82,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,2_5_13_14_17_18_20,,10,78,0.78,0.78,0.22,0.22,0.78,0.77,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/1/18,1_2_8_10_18_20_21,,10,78,0.78,0.78,0.22,0.22,0.78,0.79,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
