electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
6.1059,7.3072,6.07,4.0849,4.5616,9.6862,9.5032,10.567,-2.3498,-0.56613,10.15,9.491,9.9964,-3.2509,-2.2415,1.0906,0.47758,3.3885,-4.1412,-2.1164,-6.4687
7.7397,7.9679,5.4235,6.2794,7.9177,10.621,7.5091,8.8822,1.0126,3.3288,10.973,11.474,5.7178,-2.308,-4.2857,3.6146,0.21811,2.0623,-1.5508,-0.24663,-7.9588
8.1142,7.676,4.6801,8.2231,11.065,10.793,5.8193,7.4589,3.1771,5.7066,10.679,12.789,2.9732,-1.0025,-5.2651,5.9586,0.63284,1.6938,0.97631,1.7707,-7.5666
7.3345,6.8216,4.0379,9.3098,12.469,10.383,5.0799,6.7046,3.6575,5.1322,9.9257,13.553,3.2086,0.70726,-4.2296,8.0077,1.982,2.7252,3.2707,3.8615,-5.0339
5.6944,5.5082,3.1337,8.7835,10.76,9.1921,4.5992,5.8897,2.9146,1.9256,8.6311,13.22,5.246,2.1488,-1.4627,9.1676,3.539,4.3769,4.8916,5.5874,-1.3407
3.7929,3.9299,1.696,6.574,6.4741,7.0988,3.24,4.1698,1.8096,-2.057,6.4238,11.184,6.6897,2.6364,1.8876,8.9163,4.2788,5.5409,5.5811,6.6499,2.1759
2.518,2.7347,0.032036,3.6322,2.0627,4.5562,0.57069,1.5758,1.0519,-4.6158,3.4411,7.6325,6.0661,2.2022,4.6635,7.4433,3.7051,5.7758,5.6459,7.3224,4.7147
2.5916,2.7171,-1.2262,1.338,-0.11176,2.4244,-2.8237,-1.0299,0.99596,-4.4781,0.45971,3.6444,3.7037,1.568,6.2518,5.6068,2.0886,5.456,5.7147,8.1889,6.185
3.971,4.0411,-1.7329,0.58191,0.33022,1.2847,-5.9213,-2.7873,1.6347,-1.9059,-1.6887,0.41682,0.96268,1.4659,6.6193,4.2445,0.12189,5.1703,6.1044,9.4564,6.8377
5.7239,5.8488,-1.6115,1.3704,2.0416,0.98809,-7.9562,-3.4583,2.6074,1.5925,-2.6834,-1.5645,-1.0209,2.053,6.115,3.5515,-1.5227,5.1468,6.4912,10.609,6.9428
6.581,6.7559,-1.0816,3.0443,3.8023,0.84918,-8.6674,-3.3089,3.3607,4.2193,-2.7848,-2.6878,-1.9207,2.9285,5.2471,3.0662,-2.4355,5.1828,6.2036,10.741,6.7251
5.7051,5.7991,-0.18381,4.5419,5.5686,0.15974,-8.2268,-2.6806,3.5625,4.8996,-2.5781,-3.7329,-2.0201,3.5947,4.4205,2.1568,-2.5667,4.9014,4.806,9.2145,6.3319
3.065,2.9895,0.91822,4.5056,7.5386,-1.4819,-7.1668,-1.8872,3.4195,3.6568,-2.7055,-5.274,-1.8045,3.8669,3.7086,0.52308,-2.2458,3.983,2.4509,6.0779,5.7229
-0.72571,-0.88275,1.48,1.7356,8.7259,-4.1096,-6.2978,-1.4424,3.4454,1.1605,-3.6248,-7.3788,-1.7639,3.9354,2.8946,-1.62,-2.0278,2.301,-0.1991,2.0646,4.6783
-4.7876,-4.8261,0.35652,-3.8103,7.2185,-7.3791,-6.4133,-2.0764,3.8206,-1.9927,-5.3522,-9.6425,-2.3406,4.1516,1.8136,-3.6826,-2.3384,0.042629,-2.3173,-1.7084,3.0638
-8.2716,-8.0679,-3.089,-10.366,2.1129,-10.562,-7.8122,-4.2478,4.0573,-5.5358,-7.3457,-11.399,-3.7573,4.7721,0.63726,-4.9928,-3.1444,-2.2472,-3.2683,-4.1583,1.1263
-10.543,-10.148,-8.1899,-15.138,-5.1422,-12.735,-9.9941,-7.5662,3.4055,-9.2082,-8.7333,-11.99,-5.7181,5.8183,-0.24909,-5.0915,-3.9487,-3.8577,-2.8227,-4.6598,-0.53538
-11.333,-10.879,-13.153,-16.237,-11.678,-13.228,-11.867,-10.811,1.5961,-12.373,-8.8315,-11.067,-7.3855,7.0583,-0.66958,-3.9597,-4.1682,-4.3285,-1.2273,-3.352,-1.3877
-10.821,-10.345,-16.143,-14.066,-15.405,-12.054,-12.429,-12.689,-0.84635,-14.066,-7.6159,-8.8614,-7.9832,8.0614,-0.9269,-2.1243,-3.6375,-3.8235,0.82231,-1.1672,-1.4449
-9.503,-8.8833,-16.354,-10.807,-16.061,-9.9283,-11.442,-12.698,-2.974,-13.479,-5.7697,-6.2192,-7.618,8.3354,-1.6239,-0.53031,-2.8495,-3.1318,2.3364,0.53586,-1.3876
